Ключевое слово,Автор,Тип,Сопровождение,Вопрос,Начальная форма,Роль,Собственное ли,Одушевлённость,Род,Склонение,Число,Падеж,Разряд,Полнота формы,Степень сравнения,Совершенность,Возвратность,Переходность,Спряжение,Наклонение,Время,Лицо,Структура,Количественное/порядковое,Действительное/страдательное,Производность,Подразряд
(в) Трактирах,Н. В. Гоголь,Существительное,"Покамест ему подавались разные обычные в трактирах блюда, как то: щи с слоёным пирожком, нарочно сберегаемым для проезжающих в течение нескольких неделей, мозги с горошком, сосиски с капустой, пулярка жареная, огурец солёный и вечный слоёный сладкий пирожок, всегда готовый к услугам, он заставил слугу, или полового, рассказывать всякий вздор о том, кто содержал прежде трактир и кто теперь, и много ли даёт дохода, и большой ли подлец их хозяин; на что половой, по обыкновению, отвечал: «О, большой, сударь, мошенник».","чём,где",трактир,обстоятельство.,нариц.,неодуш.,,2 скл.,мн.ч.,П.п.,,,,,,,,,,,,,,,
Полового,Н. В. Гоголь,Существительное,"Покамест ему подавались разные обычные в трактирах блюда, как то: щи с слоёным пирожком, нарочно сберегаемым для проезжающих в течение нескольких неделей, мозги с горошком, сосиски с капустой, пулярка жареная, огурец солёный и вечный слоёный сладкий пирожок, всегда готовый к услугам, он заставил слугу, или полового, рассказывать всякий вздор о том, кто содержал прежде трактир и кто теперь, и много ли даёт дохода, и большой ли подлец их хозяин; на что половой, по обыкновению, отвечал: «О, большой, сударь, мошенник».",кого,половой,дополнение.,нариц.,одуш.,м.р.,2 скл.,ед.ч.,Р.п.,,,,,,,,,,,,,,,
Пулярка,Н. В. Гоголь,Существительное,"Покамест ему подавались разные обычные в трактирах блюда, как то: щи с слоёным пирожком, нарочно сберегаемым для проезжающих в течение нескольких неделей, мозги с горошком, сосиски с капустой, пулярка жареная, огурец солёный и вечный слоёный сладкий пирожок, всегда готовый к услугам, он заставил слугу, или полового, рассказывать всякий вздор о том, кто содержал прежде трактир и кто теперь, и много ли даёт дохода, и большой ли подлец их хозяин; на что половой, по обыкновению, отвечал: «О, большой, сударь, мошенник».",что,пулярка,дополнение.,нариц.,неодуш.,ж.р.,1 скл.,ед.ч.,И.п.,,,,,,,,,,,,,,,
(в) России,Н. В. Гоголь,Существительное,"Как в просвещённой Европе, так и в просвещённой России есть теперь весьма много почтенных людей, которые без того не могут покушать в трактире, чтоб не поговорить со слугою, а иногда даже забавно пошутить над ним.","чём,где",россия,обстоятельство.,собств.,неодуш.,ж.р.,1 скл.,ед.ч.,П.п.,,,,,,,,,,,,,,,
Возок,А. С. Пушкин,Существительное,Возок несётся чрез ухабы.,что,возок,подлежащее.,нариц.,неодуш.,м.р.,2 скл.,ед.ч.,И.п.,,,,,,,,,,,,,,,
(по) Комнате,И. А. Гончаров,Существительное,"Алексеев стал ходить взад и вперёд по комнате, потом остановился перед картиной, которую видел тысячу раз прежде, взглянул мельком в окно, взял какую-то вещь с этажерки, повертел в руках, посмотрел со всех сторон и положил опять, а там пошёл опять ходить, посвистывая, — это всё, чтоб не мешать Обломову встать и умыться.","чём,чему",комната,обстоятельство.,нариц.,неодуш.,ж.р.,1 скл.,ед.ч.,Д.п.,,,,,,,,,,,,,,,
Картиной,И. А. Гончаров,Существительное,"Алексеев стал ходить взад и вперёд по комнате, потом остановился перед картиной, которую видел тысячу раз прежде, взглянул мельком в окно, взял какую-то вещь с этажерки, повертел в руках, посмотрел со всех сторон и положил опять, а там пошёл опять ходить, посвистывая, — это всё, чтоб не мешать Обломову встать и умыться.","чем,где",картина,обстоятельство.,нариц.,неодуш.,ж.р.,1 скл.,ед.ч.,Т.п.,,,,,,,,,,,,,,,
(в) Окно,И. А. Гончаров,Существительное,"Алексеев стал ходить взад и вперёд по комнате, потом остановился перед картиной, которую видел тысячу раз прежде, взглянул мельком в окно, взял какую-то вещь с этажерки, повертел в руках, посмотрел со всех сторон и положил опять, а там пошёл опять ходить, посвистывая, — это всё, чтоб не мешать Обломову встать и умыться.","что,куда",окно,обстоятельство.,нариц.,неодуш.,ср.р.,2 скл.,ед.ч.,В.п.,,,,,,,,,,,,,,,
Вещь,И. А. Гончаров,Существительное,"Алексеев стал ходить взад и вперёд по комнате, потом остановился перед картиной, которую видел тысячу раз прежде, взглянул мельком в окно, взял какую-то вещь с этажерки, повертел в руках, посмотрел со всех сторон и положил опять, а там пошёл опять ходить, посвистывая, — это всё, чтоб не мешать Обломову встать и умыться.",что,вещь,дополнение.,нариц.,неодуш.,ж.р.,3 скл.,ед.ч.,И.п.,,,,,,,,,,,,,,,
(в) Руках,И. А. Гончаров,Существительное,"Алексеев стал ходить взад и вперёд по комнате, потом остановился перед картиной, которую видел тысячу раз прежде, взглянул мельком в окно, взял какую-то вещь с этажерки, повертел в руках, посмотрел со всех сторон и положил опять, а там пошёл опять ходить, посвистывая, — это всё, чтоб не мешать Обломову встать и умыться.","чём,где",рука,обстоятельство.,нариц.,неодуш.,ж.р.,1 скл.,ед.ч.,П.п.,,,,,,,,,,,,,,,
